<eps>	sil
umpu	u m pʰ u
unde	u n t e
urgulembi	u ɾ k u l ɤ m i
urgun	u ɾ k u n
urgunjembi	u ɾ k u n tɕʰ i m i e
urse	u ɾ s ɤ
urunakv	u ɾ u n a ɢ ɯ
use	u z
usin	u ɾ u n
uthai	u t ʁ a
uttu	ɤ z ɤ
uyan	u j a n
uyuci	u j y n
wajibuki	v a ʐ p u kʰ i
wajiha	v a tɕ i tɕʰ a
wajihabi	v a ʐ ʁ ɤ p i
wajihao	v a tɕ i tɕʰ ɤ
wajikini	v a ʐ ɤ kʰ i n
wajime	v a tɕ ɤ m ɤ
waka	v a kʰ a
wakao	v a kʰ n o
walgiyaha	v æ l tɕ i tɕʰ ɤ
walgiyame	v æ l tɕ i m
wangga	v aŋ ŋ ɤ
wargi	v æ ɾ k i
we	v ɤ
wecembi	v ɤ tʃ ɤ m i e
wecere	v ɤ tʃ ɤ ɾ
weilembi	v e i l i m i e
weilen	v e i l i
weilenambi	v e i l i n a m i e
weme	v ɤ m
weningge	v ɤ n iŋ ɤ
wenjeme	v ɤ n tɕ i m
wenjerengge	v ɤ n tɕ i x n iŋ ŋ ɤ
wereme	v ɤ ɾ ɤ m
weri	v e ɾ
weriningge	v e ɾ i n iŋ
werirakv	v e ɾ u ɢ ɯ
wesihulembi	v ɤ ʂ x u l ɤ m i e
wesihun	v ɤ ʂ k u n
xabi	s æ v e i
xaburame	s a p u ɾ m ɤ
xahvrakabi	s a x u ɾ kʰ ɤ p i
xahvrun	ʂ a x u ɾ u n
xanyan	x aŋ y a n
xolo	ʂ o l o
xumin	ʂ u m i n
xun	ʂ u n
xurdeme	ʂ u ɾ t ɤ m ɤ
xuxu	ʂ u ʂ u
ya	j a
yabade	j a v ɤ t ɤ
yabale	j a v ɤ t ɤ
yabucina	j ɔ p ɤ tɕʰ i n a
yabuki	j ɔ p ɤ tɕʰ i
yabumbio	j a v u m n o
yabume	j a v u m
yadahvxaha	j a t u ɾ u tɕʰ ɤ
yadahvxame	j a t u ɾ u m
yadahvxarakv	j a t u ɾ u ɢ ɯ
yaksi	j a k ʂ
yali	j e l i
yamji	j e m tɕ i
yamjiha	j e m tɕ i
yamjishvn	j i m tɕ i k u n
yamun	j a m u n
yanduki	j a n t u kʰ i
yargiyan	j a ɾ k i j a n
yargiyan	j a ɾ k i j a n
yasa	j a s
yasai	j a s
yaya	a i
yebe	j e p ɤ
yome	j ɔ m
yooho	j ɔ ʁ ɤ
yoombi	j ɔ m i e
